Sample	DeltaCN	BaselineCN	GeneName	OriginalDeltaCN
EOT	0.0130682012564842	1.12440540338399	PRDM16	-1
W18	-0.0310764789127744	1.12440540338399	PRDM16	-1
EOT	0.0130682012564842	1.12440540338399	TNFRSF14	-1
W18	-0.0310764789127744	1.12440540338399	TNFRSF14	-1
EOT	NA	NA	PDE4DIP	-1
W18	NA	NA	PDE4DIP	-1
EOT	0.110606967137773	2.01032925105154	FBXO11	1
W18	0.0790616200683549	2.01032925105154	FBXO11	1
EOT	0.110606967137773	2.01032925105154	MSH2	1
W18	0.0790616200683549	2.01032925105154	MSH2	1
EOT	0.110606967137773	2.01032925105154	MSH6	1
W18	0.0790616200683549	2.01032925105154	MSH6	1
EOT	0.0764513559862134	2.25016520021173	IL7R	1
W18	0.0317678099103862	2.25016520021173	IL7R	1
EOT	0.0764513559862134	2.25016520021173	LIFR	1
W18	0.0317678099103862	2.25016520021173	LIFR	1
EOT	0.0530018959334393	1.28715138488101	IL6ST	-1
W18	0.0220981632240462	1.28715138488101	IL6ST	-1
EOT	0.0530018959334393	1.28715138488101	EBF1	-1
W18	0.0220981632240462	1.28715138488101	EBF1	-1
EOT	0.0530018959334393	1.28715138488101	RANBP17	-1
W18	0.0220981632240462	1.28715138488101	RANBP17	-1
EOT	0.0530018959334393	1.28715138488101	TLX3	-1
W18	0.0220981632240462	1.28715138488101	TLX3	-1
EOT	-0.25297046421434	1.81785183553528	DEK	-1
W18	-0.258688921565721	1.81785183553528	DEK	-1
EOT	-0.25297046421434	1.81785183553528	HIST1H4I	-1
W18	-0.258688921565721	1.81785183553528	HIST1H4I	-1
EOT	NA	NA	IRF4	-1
W18	NA	NA	IRF4	-1
EOT	NA	NA	TRIM27	-1
W18	NA	NA	TRIM27	-1
EOT	-0.180291469148781	1.81896188858914	FGFR1OP	-1
W18	-0.181328014076253	1.81896188858914	FGFR1OP	-1
EOT	-0.180291469148781	1.81896188858914	MLLT4	-1
W18	-0.181328014076253	1.81896188858914	MLLT4	-1
EOT	0.176393140445942	2.05245681343267	CARD11	1
W18	0.079337313322497	2.05245681343267	CARD11	1
EOT	0.176393140445942	2.05245681343267	ETV1	1
W18	0.079337313322497	2.05245681343267	ETV1	1
EOT	0.176393140445942	2.05245681343267	HNRNPA2B1	1
W18	0.079337313322497	2.05245681343267	HNRNPA2B1	1
EOT	0.176393140445942	2.05245681343267	HOXA11	1
W18	0.079337313322497	2.05245681343267	HOXA11	1
EOT	0.176393140445942	2.05245681343267	HOXA13	1
W18	0.079337313322497	2.05245681343267	HOXA13	1
EOT	0.176393140445942	2.05245681343267	HOXA9	1
W18	0.079337313322497	2.05245681343267	HOXA9	1
EOT	0.176393140445942	2.05245681343267	JAZF1	1
W18	0.079337313322497	2.05245681343267	JAZF1	1
EOT	0.176393140445942	2.05245681343267	PMS2	1
W18	0.079337313322497	2.05245681343267	PMS2	1
EOT	-0.243816554286139	1.94204200785962	BMPR1A	-1
W18	-0.283762823681136	1.94204200785962	BMPR1A	-1
EOT	-0.243816554286139	1.94204200785962	NUTM2A	-1
W18	-0.283762823681136	1.94204200785962	NUTM2A	-1
EOT	0.128359524289707	2.14042075011336	ASPSCR1	1
W18	0.0939804888359279	2.14042075011336	ASPSCR1	1
EOT	0.128359524289707	2.14042075011336	CANT1	1
W18	0.0939804888359279	2.14042075011336	CANT1	1
EOT	0.109748430145507	2.09821431988339	HLF	1
W18	0.0653191046751367	2.09821431988339	HLF	1
EOT	0.109748430145507	2.09821431988339	MSI2	1
W18	0.0653191046751367	2.09821431988339	MSI2	1
EOT	0.128359524289707	2.14042075011336	PRKAR1A	1
